,id,id_lat,id_lon,Venue,Venue_lat,Venue_lon,Venue_cat
0,Gros-Caillou,48.8582999039,2.30154155569,Le Violon d'Ingres,48.85829257835042,2.3018138588892603,French Restaurant
1,Gros-Caillou,48.8582999039,2.30154155569,Pottoka,48.85812670848831,2.302567809820175,French Restaurant
2,Gros-Caillou,48.8582999039,2.30154155569,Terres de Café,48.8568598713015,2.3013900601101827,Café
3,Gros-Caillou,48.8582999039,2.30154155569,Les Fables de la Fontaine,48.85848018968982,2.302359532092762,French Restaurant
4,Gros-Caillou,48.8582999039,2.30154155569,La Fontaine de Mars,48.85851770763275,2.302471571696496,French Restaurant
5,Gros-Caillou,48.8582999039,2.30154155569,Les Cocottes,48.85820170794827,2.3018491244874895,French Restaurant
6,Gros-Caillou,48.8582999039,2.30154155569,Café Constant,48.858092,2.301532,Bistro
7,Gros-Caillou,48.8582999039,2.30154155569,Café de Mars,48.85735247865042,2.30211022372111,French Restaurant
8,Gros-Caillou,48.8582999039,2.30154155569,Gloria,48.85863590270556,2.302718111219637,Italian Restaurant
9,Gros-Caillou,48.8582999039,2.30154155569,Le Cairn,48.85937400793281,2.301776203837347,Coffee Shop
10,Gros-Caillou,48.8582999039,2.30154155569,Chez Ming,48.859724726557886,2.300136209537092,Chinese Restaurant
11,Gros-Caillou,48.8582999039,2.30154155569,Alfio,48.858023294526625,2.2998393326997757,Italian Restaurant
12,Gros-Caillou,48.8582999039,2.30154155569,Arnaud Nicolas,48.85700164253049,2.3011367004649896,French Restaurant
13,Gros-Caillou,48.8582999039,2.30154155569,Veramente,48.859349090988516,2.3014849619543423,Italian Restaurant
14,Gros-Caillou,48.8582999039,2.30154155569,Le Clos des Gourmets,48.85992673825521,2.3008990228508455,French Restaurant
15,Gros-Caillou,48.8582999039,2.30154155569,P'tit Troquet,48.85714077884825,2.303291623222029,French Restaurant
16,Gros-Caillou,48.8582999039,2.30154155569,Bistro Saint-Dominique,48.85826680849133,2.302447110414505,Bistro
17,Gros-Caillou,48.8582999039,2.30154155569,Bistrot Le Champ de Mars,48.857954457465,2.2999580204486847,French Restaurant
18,Gros-Caillou,48.8582999039,2.30154155569,Philippe Excoffier,48.857601363053774,2.303026647175456,French Restaurant
19,Gros-Caillou,48.8582999039,2.30154155569,Hôtel de Londres Eiffel,48.85798804826391,2.301666268307737,Hotel
20,Gros-Caillou,48.8582999039,2.30154155569,Le Campanella,48.85878026182484,2.303410883782829,Brasserie
21,Gros-Caillou,48.8582999039,2.30154155569,Hôtel Eiffel Rive Gauche,48.857231641922326,2.3025892674922943,Bed & Breakfast
22,Gros-Caillou,48.8582999039,2.30154155569,Le Champ des Délices,48.85796858988139,2.3007955241097258,Bakery
23,Gros-Caillou,48.8582999039,2.30154155569,Cafés Richard,48.857978736206135,2.301078082749973,Deli / Bodega
24,Gros-Caillou,48.8582999039,2.30154155569,Su Misura,48.859040888569396,2.3005242685835947,Italian Restaurant
25,Gros-Caillou,48.8582999039,2.30154155569,G20,48.85807246194297,2.3011465525643997,Convenience Store
26,Gros-Caillou,48.8582999039,2.30154155569,Le Dôme,48.85765525710391,2.3004589229822154,French Restaurant
27,Gros-Caillou,48.8582999039,2.30154155569,Doïna,48.857685436412275,2.3005232959985733,Romanian Restaurant
28,Gros-Caillou,48.8582999039,2.30154155569,Paris' Trip,48.85816429095232,2.2996602952480316,Tour Provider
29,Gros-Caillou,48.8582999039,2.30154155569,BabaO,48.85760056066365,2.3017785703236346,Juice Bar
30,Gros-Caillou,48.8582999039,2.30154155569,Boulangerie Lapelosa,48.85999497338013,2.3009707777123256,Bakery
31,Parc-de-Montsouris,48.8234527716,2.33707017986,Parc Montsouris,48.822307367357325,2.337555885314941,Park
32,Parc-de-Montsouris,48.8234527716,2.33707017986,Café Chin-Chin,48.82410069033489,2.335929303629519,Restaurant
33,Parc-de-Montsouris,48.8234527716,2.33707017986,Arrêt Parc Montsouris [88],48.824555766442955,2.3356154354691876,Bus Stop
34,Parc-de-Montsouris,48.8234527716,2.33707017986,La Bonbonniere,48.823399,2.339662,Coffee Shop
35,Bonne-Nouvelle,48.8671501183,2.35008019041,Ma Cave Fleury,48.86550541020573,2.350544335615611,Wine Shop
36,Bonne-Nouvelle,48.8671501183,2.35008019041,Les Amis des Messina,48.867165717937475,2.3484202823949536,Italian Restaurant
37,Bonne-Nouvelle,48.8671501183,2.35008019041,Tealer,48.86804419126771,2.3505592346191406,Boutique
38,Bonne-Nouvelle,48.8671501183,2.35008019041,Experimental Cocktail Club,48.86615088435938,2.3483697974431506,Cocktail Bar
39,Bonne-Nouvelle,48.8671501183,2.35008019041,Redd,48.86623685868873,2.3477715657647504,Wine Bar
40,Bonne-Nouvelle,48.8671501183,2.35008019041,Frenchie Bar A Vins,48.867784831904615,2.347898483276367,Wine Bar
41,Bonne-Nouvelle,48.8671501183,2.35008019041,Klay,48.86603925843629,2.349655788942288,Gym / Fitness Center
42,Bonne-Nouvelle,48.8671501183,2.35008019041,Boulettes,48.865577227851325,2.3505683279372094,Gastropub
43,Bonne-Nouvelle,48.8671501183,2.35008019041,Frenchie to Go,48.86769308541349,2.347740232944488,Sandwich Place
44,Bonne-Nouvelle,48.8671501183,2.35008019041,Kapunka,48.86622564267205,2.3477632388713405,Thai Restaurant
45,Bonne-Nouvelle,48.8671501183,2.35008019041,Frenchie,48.867813439035295,2.347941885781692,French Restaurant
46,Bonne-Nouvelle,48.8671501183,2.35008019041,Foodi Jia-Ba-Buay,48.867894221731895,2.3482659459114075,Asian Restaurant
