,Hostel,Hostel_lat,Hostel_lon,Venue,Venue_lat,Venue_lon,Venue_cat
51,Queen's Hotel Paris,48.8485003,2.2662028,Pharmacie De La Croix Bleue,48.848036,2.265043,Pharmacy
52,Hôtel Poussin,48.84855962396424,2.2612981561640955,Solemar,48.848418017978055,2.26107509927761,Middle Eastern Restaurant
53,Hôtel Poussin,48.84855962396424,2.2612981561640955,Auteuil Brasserie,48.848332,2.259869,Brasserie
54,Hôtel Poussin,48.84855962396424,2.2612981561640955,Le Murat,48.84773899200669,2.259148317680228,French Restaurant
55,Hôtel Poussin,48.84855962396424,2.2612981561640955,CMG Sports Club Waou Auteuil,48.84706323719988,2.259934572165373,Gym / Fitness Center
56,Hôtel Poussin,48.84855962396424,2.2612981561640955,Da Alberto,48.84846279097358,2.2635917148204454,Italian Restaurant
57,Hôtel Poussin,48.84855962396424,2.2612981561640955,Beaujolais d'Auteuil,48.848446661280505,2.260499175085806,French Restaurant
58,Hôtel Poussin,48.84855962396424,2.2612981561640955,Le Congrès,48.84790683187673,2.259586546348123,French Restaurant
59,Hôtel Poussin,48.84855962396424,2.2612981561640955,Monoprix,48.84793,2.26145,Supermarket
60,Hôtel Poussin,48.84855962396424,2.2612981561640955,Le Moulin d'Auteuil,48.847904430344926,2.2605386883866623,French Restaurant
61,Hôtel Poussin,48.84855962396424,2.2612981561640955,Fleurs d'Auteuil,48.84804962824168,2.260218506314997,Flower Shop
62,Hôtel Poussin,48.84855962396424,2.2612981561640955,Yummy,48.847202,2.259828,Japanese Restaurant
63,Hôtel Poussin,48.84855962396424,2.2612981561640955,Okyoto,48.84702466683283,2.2614026069641113,Japanese Restaurant
64,Hôtel Poussin,48.84855962396424,2.2612981561640955,Le Forty One,48.847940577272475,2.2594582608057,Brewery
65,Hôtel Océania Paris Porte de Versailles,48.83045019514152,2.284402596545703,Sushiken,48.82951159082831,2.2835384862673704,Japanese Restaurant
66,Hôtel Océania Paris Porte de Versailles,48.83045019514152,2.284402596545703,Hôtel Océania Paris Porte de Versailles,48.83045019514152,2.284402596545703,Hotel
67,Hôtel Océania Paris Porte de Versailles,48.83045019514152,2.284402596545703,Okayama,48.82937731361141,2.2832842141435785,Japanese Restaurant
