name,id,lat,lon,PostalCode,City,formattedAddress,type,ZipCodeTrue,Arr,nblike
Hotel Acte V Paris,4bd75871304fce72376a33ab,48.84475375268868,2.3522986649053617,75005,Paris,"['55 rue Monge', '75005 Paris', 'France']",Hotel,75005,5,1
Hôtel Le Brun,51bacfad498ed80cd0dd7263,48.84683756738223,2.3526379466056824,75005,Paris,"['49 rue du Cardinal Lemoine', '75005 Paris', 'France']",Hotel,75005,5,1
Hôtel Sainte Geneviève,55f3eb09498e583582525f1e,48.846765000000005,2.3490130000000002,75005,Paris,"['17 rue Descartes', '75005 Paris', 'France']",Hotel,75005,5,0
Saint Christophe Hotel Paris,4bcc5bf5aeaaeee12fed3d6d,48.843677846840826,2.3526433280102426,,Paris,"['17 Rue Lacepede', 'Paris', 'France']",Hotel,75005,5,2
Waytostay,4d41e4e5aed776eb86556897,48.8477,2.3519,75005,Paris,"['Rue de Poissy, 05ème Quartier Latin', '75005 Paris', 'France']",Hotel,75005,5,0
RESDENCE HENRI4,4e668e1a8877dfcf2fce7790,48.848263,2.349166,,,['France'],Bed & Breakfast,75005,5,0
Good Morning Paris,584f9ffd18fd2b78269f0f18,48.844016870201855,2.350537776947021,75004,Paris,"['43 rue Lacépède', '75004 Paris', 'France']",Bed & Breakfast,75005,5,2
Hôtel Quartier Latin,4b28ab39f964a5208e9424e3,48.847689428222026,2.3518526659901298,75005,Paris,"[""9 rue des Ecoles (rue d'Arras)"", '75005 Paris', 'France']",Hotel,75005,5,9
Waytostay,4d41e58baed776eb316f6897,48.845079999999996,2.3479099999999997,75005,Paris,"['Rue Blainville, 05ème Quartier Latin', '75005 Paris', 'France']",Hotel,75005,5,0
hotel residence henri iv paris,4b749f87f964a5206ce82de3,48.848186,2.35013,75005,Paris,"['50 bernardins (Rue des Ecoles)', '75005 Paris', 'France']",Hotel,75005,5,0
8 Rue Laplace,51c4998a498e1c8b5550d670,48.847208,2.347779,,Paris,"['8 Rue Laplace', 'Paris', 'France']",Boarding House,75005,5,0
Hôtel Royal Saint-Michel,4d9f7f165dc7f04dac0d7091,48.85281706778056,2.3441091924905777,75005,Paris,"['3 boulevard Saint Michel', '75005 Paris', 'France']",Hotel,75005,5,9
Best Western Le Jardin de Cluny,50e7e06ee4b0d6d8abce6973,48.84974277012431,2.3468427197076385,75005,Paris,"['9 rue de Sommerard', '75005 Paris', 'France']",Hotel,75005,5,2
Hôtel Saint-Jacques,4adcda03f964a520cd3121e3,48.84886360441007,2.347570001904163,75005,Paris,"['35 rue des Écoles', '75005 Paris', 'France']",Hotel,75005,5,7
Hôtel Agora Saint Germain,4adcda02f964a5205a3121e3,48.848719602102214,2.3497429492012243,75005,Paris,"['42 Rue des Bernardins', '75005 Paris', 'France']",Hotel,75005,5,13
Hôtel Moderne Saint Germain,4adcda02f964a520703121e3,48.84881083792928,2.3478680438030124,75005,Paris,"['33 Rue des Écoles', '75005 Paris', 'France']",Hotel,75005,5,23
Hôtel Europe Saint Séverin,4adcda04f964a520183221e3,48.85272556961247,2.344264090061188,75005,Paris,"['40 rue Saint-Séverin', '75005 Paris', 'France']",Hotel,75005,5,22
Hotel Home Latin,4b9d618df964a52051a836e3,48.85005532941019,2.346300421934937,75005,Paris,"['15-17 rue du Sommerard', '75005 Paris', 'France']",Hotel,75005,5,17
Hôtel Mercure Paris Notre Dame Saint Germain des Prés,5510a859498e207bc09793fd,48.85022114020458,2.345103184179293,75005,Paris,"['20 Rue Du Sommerard', '75005 Paris', 'France']",Hotel,75005,5,12
Hôtel Meliá Colbert,4adcda00f964a520f43021e3,48.851647344603116,2.3486607846272327,75005,Paris,"[""7 rue de l'Hôtel Colbert"", '75005 Paris', 'France']",Hotel,75005,5,16
Hôtel de Notre Dame,4adcda00f964a520bc3021e3,48.850495154461136,2.3493946703430555,75005,Paris,"['19 rue Maître Albert', '75005 Paris', 'France']",Hotel,75005,5,2
Hôtel Marignan,4c0956236071a5931cbedd32,48.85009322548381,2.3465856485731966,75005,Paris,"['13 rue du Sommerard (Rue de Thenard)', '75005 Paris', 'France']",Hotel,75005,5,20
Les Bulles de Paris,55899b88498e60c8cd56fd10,48.84898761241777,2.347099530345748,75005,Paris,"['32 rue des Écoles', '75005 Paris', 'France']",Hotel,75005,5,7
Hôtel Abbatial Saint-Germain,4bd73195304fce72093333ab,48.84958014698396,2.350533217433114,75005,Paris,"['46 Boulevard Saint-Germain', '75005 Paris', 'France']",Hotel,75005,5,11
BVJ Quartier Latin,4f2da920e4b0b0d08425f936,48.848651000000004,2.349742,75005,Paris,"['75005 Paris', 'France']",Hostel,75005,5,1
Hôtel Claude Bernard,4adcda01f964a5201e3121e3,48.84908207655627,2.3468787632152863,75005,Paris,"['43 Rue des Écoles', '75005 Paris', 'France']",Hotel,75005,5,4
Hotel Atmospheres,505ec24de4b011bf1f426e58,48.8486946434805,2.348144944017849,75005,Paris,"['31 rue des Écoles', '75005 Paris', 'France']",Hotel,75005,5,31
Hôtel Albe,4cd88b655e1b721e45b23ad9,48.85309282978318,2.344729453325272,75005,Paris,"['1 rue de la Harpe', '75005 Paris', 'France']",Hotel,75005,5,8
Hôtel Le Notre-Dame,4adcda02f964a520953121e3,48.853039718139584,2.346503734588623,75005,Paris,"['1 quai Saint-Michel', '75005 Paris', 'France']",Hotel,75005,5,27
Hotel Diana,4c356fab66e40f47bc3fcb8b,48.84979723172204,2.3450071829848307,75005,Paris,"['73, rue Saint-Jacques (Rue des Ecoles)', '75005 Paris', 'France']",Hotel,75005,5,9
Hotel Sully Saint Germain,4bcf62830ffdce72596bb2c0,48.84869490368514,2.3481842561348456,75005,Paris,"['31 Rue des Écoles', '75005 Paris', 'France']",Hotel,75005,5,0
Hôtel du Levant,4adcda04f964a5201e3221e3,48.85230101647607,2.3443318158388142,75005,Paris,"['18 Rue de la Harpe', '75005 Paris', 'France']",Hotel,75005,5,12
Rue Saint-jacques 34,4e028287d22d034599ec48ac,48.850549,2.345339,,Paris,"['Paris', 'France']",Bed & Breakfast,75005,5,1
Kenzo's Kerstmisverblijf,5493338d498e9ae3ddd1bb7a,48.849942999999996,2.349738,,,['France'],Bed & Breakfast,75005,5,0
Bernardins Youth Hostel,50d4cfffe4b06651ca466047,48.84853,2.349481,75005,Paris,"['44, Rue des Bernardins', '75005 Paris', 'France']",Hostel,75005,5,1
Best Western Au Jardin de Cluny,4adcda01f964a5201f3121e3,48.85000287703532,2.3468230714062943,75005,Paris,"['9 rue du Sommerard', '75005 Paris', 'France']",Hotel,75005,5,8
Waytostay,4d41e599aed776eb37716897,48.8515,2.3485,75005,Paris,"['Rue Des Anglais, 05ème Quartier Latin', '75005 Paris', 'France']",Hotel,75005,5,0
The Blue Room,4d0839e40ead8cfa4c95ee76,48.85069665,2.3502093000000004,75005,Paris,"['7 rue Maître Albert', '75005 Paris', 'France']",Bed & Breakfast,75005,5,0
Résidence Le Saint-Germain,51b48828498efbbd16e70034,48.851316,2.3444580000000004,75005,Paris,"['16 rue Boutebrie', '75005 Paris', 'France']",Hotel,75005,5,0
Air B&B near Sorbonne,5780321d498e3c23297b42a9,48.850165999999994,2.3445916,75005,Paris,"['75005 Paris', 'France']",Vacation Rental,75005,5,0
